api_path,record_count,raw_target,source_file,source_line
core::ops::RangeBounds::start_bound,7,<RangeToInclusive<T> as RangeBounds<T>>::start_bound,std_specs/range.rs,353
core::ops::RangeBounds::start_bound,7,"<(Bound<T>, Bound<T>) as RangeBounds<T>>::start_bound",std_specs/range.rs,367
core::ops::Sub::sub,2,<f32 as core::ops::Sub>::sub,std_specs/ops.rs,474
core::ops::Sub::sub,2,<f64 as core::ops::Sub>::sub,std_specs/ops.rs,499
core::ptr::null,2,core::ptr::null,raw_ptr.rs,401
core::ptr::null,2,core::ptr::null,raw_ptr.rs,403
core::ptr::null_mut,2,core::ptr::null_mut,raw_ptr.rs,422
core::ptr::null_mut,2,core::ptr::null_mut,raw_ptr.rs,424
core::slice::SliceIndex::index,2,<usize as SliceIndex<[T]>>::index,std_specs/slice.rs,44
core::slice::SliceIndex::index,2,<Range<usize> as SliceIndex<[T]>>::index,std_specs/slice.rs,56
std::collections::HashMap::contains_key,2,"HashMap::<Key, Value, S, A>::contains_key::<Q>",std_specs/hash.rs,710
std::collections::HashMap::contains_key,2,"HashMap::<Key, Value, S, A>::contains_key::<Q>",std_specs/hash.rs,716
std::collections::HashMap::get,2,"HashMap::<Key, Value, S, A>::get::<Q>",std_specs/hash.rs,768
std::collections::HashMap::get,2,"HashMap::<Key, Value, S, A>::get::<Q>",std_specs/hash.rs,775
std::collections::HashMap::remove,2,"HashMap::<Key, Value, S, A>::remove::<Q>",std_specs/hash.rs,830
std::collections::HashMap::remove,2,"HashMap::<Key, Value, S, A>::remove::<Q>",std_specs/hash.rs,836
std::collections::HashSet::contains,2,"HashSet::<Key, S, A>::contains",std_specs/hash.rs,1079
std::collections::HashSet::contains,2,"HashSet::<Key, S, A>::contains",std_specs/hash.rs,1084
std::collections::HashSet::get,2,"HashSet::<Key, S, A>::get::<Q>",std_specs/hash.rs,1124
std::collections::HashSet::get,2,"HashSet::<Key, S, A>::get::<Q>",std_specs/hash.rs,1130
std::collections::HashSet::remove,2,"HashSet::<Key, S, A>::remove::<Q>",std_specs/hash.rs,1175
std::collections::HashSet::remove,2,"HashSet::<Key, S, A>::remove::<Q>",std_specs/hash.rs,1180
