input_order,module,target,target_owner,target_path,semantic_family,source_reference,source_reference_path,frozen_relpath,source_file_sha256,source_item_sha256,signature_start_line,signature_end_line,body_start_line,body_end_line,enclosing_impl_header,enclosing_impl_start_line,direct_call_count,private_helper_callee_count,generated_target_dependency_count,present_dependency_categories,proof_order_index,proof_tier,proof_tier_reason,source_manifest_relpath,transformation_manifest_relpath,dependency_manifest_relpath,harness_relpath
21,slice,core::slice::as_ptr,core::slice,core::slice::as_ptr,raw-pointer-and-provenance,core/src/slice/mod.rs:728,core/src/slice/mod.rs,frozen_inputs/slice/rust-core-slice/mod.rs,58901fa6437dbd4d77c68427bbced0fc3a91a10fdb8bd2e233adf6a9ba27d2d5,df0d49a1417773cb8932d48e9e7bb06a553039beaca7f20000b9fc6319236c1d,726,726,726,728,impl<T> [T] {,101,0,0,0,['raw_pointer_or_provenance'],40,1,no generated-target callees; allocator/raw-pointer boundary required,proof_manifests/021_core_slice_as_ptr/source_body.json,proof_manifests/021_core_slice_as_ptr/transformation_manifest.json,proof_manifests/021_core_slice_as_ptr/dependency_assumption_manifest.json,proof_harnesses/021_core_slice_as_ptr/harness.rs
22,slice,core::slice::as_ptr_range,core::slice,core::slice::as_ptr_range,raw-pointer-and-provenance,core/src/slice/mod.rs:796,core/src/slice/mod.rs,frozen_inputs/slice/rust-core-slice/mod.rs,58901fa6437dbd4d77c68427bbced0fc3a91a10fdb8bd2e233adf6a9ba27d2d5,b42ea830188debee4c9145f4e52e8a270861f5c3845a4f1c4a50e006987ed5d7,793,793,793,814,impl<T> [T] {,101,3,3,1,"['raw_pointer_or_provenance', 'unsafe']",103,2,depends on other generated targets,proof_manifests/022_core_slice_as_ptr_range/source_body.json,proof_manifests/022_core_slice_as_ptr_range/transformation_manifest.json,proof_manifests/022_core_slice_as_ptr_range/dependency_assumption_manifest.json,proof_harnesses/022_core_slice_as_ptr_range/harness.rs
23,slice,core::slice::as_rchunks,core::slice,core::slice::as_rchunks,iterator-splitting-and-chunking,core/src/slice/mod.rs:1446,core/src/slice/mod.rs,frozen_inputs/slice/rust-core-slice/mod.rs,58901fa6437dbd4d77c68427bbced0fc3a91a10fdb8bd2e233adf6a9ba27d2d5,da9aac6cc29f7a3a33a9f26056a284ed83aa4fd844a40b4bdf8fcd348f48a346,1443,1443,1443,1451,impl<T> [T] {,101,4,3,0,"['panic_or_bounds', 'unsafe']",41,1,no generated-target callees; unsafe/intrinsic/MaybeUninit boundary required,proof_manifests/023_core_slice_as_rchunks/source_body.json,proof_manifests/023_core_slice_as_rchunks/transformation_manifest.json,proof_manifests/023_core_slice_as_rchunks/dependency_assumption_manifest.json,proof_harnesses/023_core_slice_as_rchunks/harness.rs
24,slice,core::slice::as_rchunks_mut,core::slice,core::slice::as_rchunks_mut,iterator-splitting-and-chunking,core/src/slice/mod.rs:1608,core/src/slice/mod.rs,frozen_inputs/slice/rust-core-slice/mod.rs,58901fa6437dbd4d77c68427bbced0fc3a91a10fdb8bd2e233adf6a9ba27d2d5,2de629d24e9c7a21c57f1857ac9cf123c54ecf397268228a1cc0a5acbd0988d4,1605,1605,1605,1613,impl<T> [T] {,101,4,3,0,"['panic_or_bounds', 'unsafe']",42,1,no generated-target callees; unsafe/intrinsic/MaybeUninit boundary required,proof_manifests/024_core_slice_as_rchunks_mut/source_body.json,proof_manifests/024_core_slice_as_rchunks_mut/transformation_manifest.json,proof_manifests/024_core_slice_as_rchunks_mut/dependency_assumption_manifest.json,proof_harnesses/024_core_slice_as_rchunks_mut/harness.rs
25,slice,core::slice::assume_init_drop,core::slice,core::slice::assume_init_drop,maybe-uninit-slice-storage,core/src/mem/maybe_uninit.rs:1487,core/src/mem/maybe_uninit.rs,frozen_inputs/slice/rust-core-adjacent/mem/maybe_uninit.rs,cd1152779de3a6bc96b29997e8a95d3beb9ff1018f99223b429ed0df66baa8ef,a07f771f6f96b6dd1b45e87e2496862f0ec8fc9578ee326cd1da6efb80c47b9f,1486,1489,1489,1496,impl<T> [MaybeUninit<T>] {,1119,2,8,0,"['maybe_uninit', 'raw_pointer_or_provenance', 'trait_or_callback', 'unsafe']",43,1,no generated-target callees; allocator/raw-pointer boundary required,proof_manifests/025_core_slice_assume_init_drop/source_body.json,proof_manifests/025_core_slice_assume_init_drop/transformation_manifest.json,proof_manifests/025_core_slice_assume_init_drop/dependency_assumption_manifest.json,proof_harnesses/025_core_slice_assume_init_drop/harness.rs
26,slice,core::slice::assume_init_mut,core::slice,core::slice::assume_init_mut,maybe-uninit-slice-storage,core/src/mem/maybe_uninit.rs:1528,core/src/mem/maybe_uninit.rs,frozen_inputs/slice/rust-core-adjacent/mem/maybe_uninit.rs,cd1152779de3a6bc96b29997e8a95d3beb9ff1018f99223b429ed0df66baa8ef,beb997b66dd7cca2818667bddfe1e1ade51676cdf0ea4f32cf6253af1c0234f4,1527,1527,1527,1531,impl<T> [MaybeUninit<T>] {,1119,0,0,0,"['maybe_uninit', 'raw_pointer_or_provenance', 'unsafe']",44,1,no generated-target callees; unsafe/MaybeUninit raw-cast boundary required,proof_manifests/026_core_slice_assume_init_mut/source_body.json,proof_manifests/026_core_slice_assume_init_mut/transformation_manifest.json,proof_manifests/026_core_slice_assume_init_mut/dependency_assumption_manifest.json,proof_harnesses/026_core_slice_assume_init_mut/harness.rs
27,slice,core::slice::assume_init_ref,core::slice,core::slice::assume_init_ref,maybe-uninit-slice-storage,core/src/mem/maybe_uninit.rs:1509,core/src/mem/maybe_uninit.rs,frozen_inputs/slice/rust-core-adjacent/mem/maybe_uninit.rs,cd1152779de3a6bc96b29997e8a95d3beb9ff1018f99223b429ed0df66baa8ef,fdb02d51c886afa919c86bdca3a8a1fee74db6c50bef1f0df89364c1a468febd,1508,1508,1508,1514,impl<T> [MaybeUninit<T>] {,1119,0,0,0,"['maybe_uninit', 'unsafe']",45,1,no generated-target callees; unsafe/intrinsic/MaybeUninit boundary required,proof_manifests/027_core_slice_assume_init_ref/source_body.json,proof_manifests/027_core_slice_assume_init_ref/transformation_manifest.json,proof_manifests/027_core_slice_assume_init_ref/dependency_assumption_manifest.json,proof_harnesses/027_core_slice_assume_init_ref/harness.rs
28,slice,core::slice::binary_search,core::slice,core::slice::binary_search,search-prefix-suffix-ordering,core/src/slice/mod.rs:2925,core/src/slice/mod.rs,frozen_inputs/slice/rust-core-slice/mod.rs,58901fa6437dbd4d77c68427bbced0fc3a91a10fdb8bd2e233adf6a9ba27d2d5,6d30810ce7216e2c5c6594d33edc85a053e08b3f1bedff9567a5f6525bfd61a7,2919,2922,2922,2924,impl<T> [T] {,101,2,0,1,['trait_or_callback'],105,2,depends on other generated targets,proof_manifests/028_core_slice_binary_search/source_body.json,proof_manifests/028_core_slice_binary_search/transformation_manifest.json,proof_manifests/028_core_slice_binary_search/dependency_assumption_manifest.json,proof_harnesses/028_core_slice_binary_search/harness.rs
29,slice,core::slice::binary_search_by,core::slice,core::slice::binary_search_by,search-prefix-suffix-ordering,core/src/slice/mod.rs:2976,core/src/slice/mod.rs,frozen_inputs/slice/rust-core-slice/mod.rs,58901fa6437dbd4d77c68427bbced0fc3a91a10fdb8bd2e233adf6a9ba27d2d5,8a7ce9ee452f424a23a87b3d92b45c675e3d2b4a27c219bfe45f14f1832a42b3,2970,2973,2973,3022,impl<T> [T] {,101,5,18,1,"['trait_or_callback', 'unsafe']",104,2,depends on other generated targets,proof_manifests/029_core_slice_binary_search_by/source_body.json,proof_manifests/029_core_slice_binary_search_by/transformation_manifest.json,proof_manifests/029_core_slice_binary_search_by/dependency_assumption_manifest.json,proof_harnesses/029_core_slice_binary_search_by/harness.rs
30,slice,core::slice::binary_search_by_key,core::slice,core::slice::binary_search_by_key,search-prefix-suffix-ordering,core/src/slice/mod.rs:3077,core/src/slice/mod.rs,frozen_inputs/slice/rust-core-slice/mod.rs,58901fa6437dbd4d77c68427bbced0fc3a91a10fdb8bd2e233adf6a9ba27d2d5,93926d7471959bd2dca6f11321a73a445294b73af7c3748212f85ed08d5c31ae,3071,3075,3075,3077,impl<T> [T] {,101,3,0,1,['trait_or_callback'],106,2,depends on other generated targets,proof_manifests/030_core_slice_binary_search_by_key/source_body.json,proof_manifests/030_core_slice_binary_search_by_key/transformation_manifest.json,proof_manifests/030_core_slice_binary_search_by_key/dependency_assumption_manifest.json,proof_harnesses/030_core_slice_binary_search_by_key/harness.rs
