canonical_path,representative_display_path,modules,kinds,stability,declaration_count,source_locations,has_approximate_alias
alloc::collections::BTreeMap::get_mut,alloc::collections::BTreeMap::get_mut,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:1006,False
alloc::collections::BTreeMap::into_keys,alloc::collections::BTreeMap::into_keys,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:1682,False
alloc::collections::BTreeMap::into_values,alloc::collections::BTreeMap::into_values,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:1704,False
alloc::collections::BTreeMap::iter_mut,alloc::collections::BTreeMap::iter_mut,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:2734,False
alloc::collections::BTreeMap::last_entry,alloc::collections::BTreeMap::last_entry,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:921,False
alloc::collections::BTreeMap::last_key_value,alloc::collections::BTreeMap::last_key_value,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:893,False
alloc::collections::BTreeMap::lower_bound,alloc::collections::BTreeMap::lower_bound,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,unstable,1,alloc/src/collections/btree/map.rs:2893,False
alloc::collections::BTreeMap::lower_bound_mut,alloc::collections::BTreeMap::lower_bound_mut,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,unstable,1,alloc/src/collections/btree/map.rs:2946,False
alloc::collections::BTreeMap::merge,alloc::collections::BTreeMap::merge,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,unstable,1,alloc/src/collections/btree/map.rs:1291,False
alloc::collections::BTreeMap::new_in,alloc::collections::BTreeMap::new_in,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,unstable,1,alloc/src/collections/btree/map.rs:695,False
alloc::collections::BTreeMap::pop_first,alloc::collections::BTreeMap::pop_first,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:872,False
alloc::collections::BTreeMap::pop_last,alloc::collections::BTreeMap::pop_last,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:955,False
alloc::collections::BTreeMap::range,alloc::collections::BTreeMap::range,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:1429,False
alloc::collections::BTreeMap::range_mut,alloc::collections::BTreeMap::range_mut,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:1469,False
alloc::collections::BTreeMap::remove_entry,alloc::collections::BTreeMap::remove_entry,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:1154,False
alloc::collections::BTreeMap::retain,alloc::collections::BTreeMap::retain,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:1192,False
alloc::collections::BTreeMap::split_off,alloc::collections::BTreeMap::split_off,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:1561,False
alloc::collections::BTreeMap::try_insert,alloc::collections::BTreeMap::try_insert,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,unstable,1,alloc/src/collections/btree/map.rs:1081,False
alloc::collections::BTreeMap::upper_bound,alloc::collections::BTreeMap::upper_bound,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,unstable,1,alloc/src/collections/btree/map.rs:3016,False
alloc::collections::BTreeMap::upper_bound_mut,alloc::collections::BTreeMap::upper_bound_mut,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,unstable,1,alloc/src/collections/btree/map.rs:3069,False
alloc::collections::BTreeMap::values_mut,alloc::collections::BTreeMap::values_mut,alloc::collections;alloc::collections::btree_map;std::collections,inherent_method,stable,1,alloc/src/collections/btree/map.rs:2802,False
alloc::collections::BTreeSet::append,alloc::collections::BTreeSet::append,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:1139,False
alloc::collections::BTreeSet::difference,alloc::collections::BTreeSet::difference,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:428,False
alloc::collections::BTreeSet::entry,alloc::collections::BTreeSet::entry,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,unstable,1,alloc/src/collections/btree/set.rs:1024,False
alloc::collections::BTreeSet::extract_if,alloc::collections::BTreeSet::extract_if,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:1218,False
