module,display_path,canonical_path,origin_path,kind,declaration_id,stability,since,is_const,is_unsafe,is_async,abi,source_file,source_line,alias_approximate
core::arch::x86,core::arch::x86::_mm256_mask_i64gather_epi64,core::arch::x86::_mm256_mask_i64gather_epi64,core::core_arch::x86::avx2::_mm256_mask_i64gather_epi64,free_function,core:39636,stable,1.27.0,False,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx2.rs,1713,False
core::arch::x86,core::arch::x86::_mm256_mask_i64gather_pd,core::arch::x86::_mm256_mask_i64gather_pd,core::core_arch::x86::avx2::_mm256_mask_i64gather_pd,free_function,core:39640,stable,1.27.0,False,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx2.rs,1803,False
core::arch::x86,core::arch::x86::_mm256_mask_i64gather_ps,core::arch::x86::_mm256_mask_i64gather_ps,core::core_arch::x86::avx2::_mm256_mask_i64gather_ps,free_function,core:39632,stable,1.27.0,False,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx2.rs,1618,False
core::arch::x86,core::arch::x86::_mm256_mask_i64scatter_epi32,core::arch::x86::_mm256_mask_i64scatter_epi32,core::core_arch::x86::avx512f::_mm256_mask_i64scatter_epi32,free_function,core:40932,stable,1.89.0,False,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,17985,False
core::arch::x86,core::arch::x86::_mm256_mask_i64scatter_epi64,core::arch::x86::_mm256_mask_i64scatter_epi64,core::core_arch::x86::avx512f::_mm256_mask_i64scatter_epi64,free_function,core:40934,stable,1.89.0,False,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,18023,False
core::arch::x86,core::arch::x86::_mm256_mask_i64scatter_pd,core::arch::x86::_mm256_mask_i64scatter_pd,core::core_arch::x86::avx512f::_mm256_mask_i64scatter_pd,free_function,core:40936,stable,1.89.0,False,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,18061,False
core::arch::x86,core::arch::x86::_mm256_mask_i64scatter_ps,core::arch::x86::_mm256_mask_i64scatter_ps,core::core_arch::x86::avx512f::_mm256_mask_i64scatter_ps,free_function,core:40938,stable,1.89.0,False,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,18099,False
core::arch::x86,core::arch::x86::_mm256_mask_insertf32x4,core::arch::x86::_mm256_mask_insertf32x4,core::core_arch::x86::avx512f::_mm256_mask_insertf32x4,free_function,core:41447,stable,1.89.0,True,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,26737,False
core::arch::x86,core::arch::x86::_mm256_mask_insertf64x2,core::arch::x86::_mm256_mask_insertf64x2,core::core_arch::x86::avx512dq::_mm256_mask_insertf64x2,free_function,core:43713,stable,1.89.0,True,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512dq.rs,1921,False
core::arch::x86,core::arch::x86::_mm256_mask_inserti32x4,core::arch::x86::_mm256_mask_inserti32x4,core::core_arch::x86::avx512f::_mm256_mask_inserti32x4,free_function,core:41438,stable,1.89.0,True,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,26523,False
core::arch::x86,core::arch::x86::_mm256_mask_inserti64x2,core::arch::x86::_mm256_mask_inserti64x2,core::core_arch::x86::avx512dq::_mm256_mask_inserti64x2,free_function,core:43722,stable,1.89.0,True,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512dq.rs,2139,False
core::arch::x86,core::arch::x86::_mm256_mask_load_epi32,core::arch::x86::_mm256_mask_load_epi32,core::core_arch::x86::avx512f::_mm256_mask_load_epi32,free_function,core:42145,stable,1.89.0,True,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,36929,False
core::arch::x86,core::arch::x86::_mm256_mask_load_epi64,core::arch::x86::_mm256_mask_load_epi64,core::core_arch::x86::avx512f::_mm256_mask_load_epi64,free_function,core:42147,stable,1.89.0,True,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,36962,False
core::arch::x86,core::arch::x86::_mm256_mask_load_pd,core::arch::x86::_mm256_mask_load_pd,core::core_arch::x86::avx512f::_mm256_mask_load_pd,free_function,core:42151,stable,1.89.0,True,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,37024,False
core::arch::x86,core::arch::x86::_mm256_mask_load_ps,core::arch::x86::_mm256_mask_load_ps,core::core_arch::x86::avx512f::_mm256_mask_load_ps,free_function,core:42149,stable,1.89.0,True,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,36995,False
core::arch::x86,core::arch::x86::_mm256_mask_loadu_epi16,core::arch::x86::_mm256_mask_loadu_epi16,core::core_arch::x86::avx512bw::_mm256_mask_loadu_epi16,free_function,core:43162,stable,1.89.0,True,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512bw.rs,6111,False
core::arch::x86,core::arch::x86::_mm256_mask_loadu_epi32,core::arch::x86::_mm256_mask_loadu_epi32,core::core_arch::x86::avx512f::_mm256_mask_loadu_epi32,free_function,core:42121,stable,1.89.0,True,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,36549,False
core::arch::x86,core::arch::x86::_mm256_mask_loadu_epi64,core::arch::x86::_mm256_mask_loadu_epi64,core::core_arch::x86::avx512f::_mm256_mask_loadu_epi64,free_function,core:42123,stable,1.89.0,True,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,36582,False
core::arch::x86,core::arch::x86::_mm256_mask_loadu_epi8,core::arch::x86::_mm256_mask_loadu_epi8,core::core_arch::x86::avx512bw::_mm256_mask_loadu_epi8,free_function,core:43164,stable,1.89.0,True,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512bw.rs,6144,False
core::arch::x86,core::arch::x86::_mm256_mask_loadu_pd,core::arch::x86::_mm256_mask_loadu_pd,core::core_arch::x86::avx512f::_mm256_mask_loadu_pd,free_function,core:42127,stable,1.89.0,True,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,36644,False
core::arch::x86,core::arch::x86::_mm256_mask_loadu_ps,core::arch::x86::_mm256_mask_loadu_ps,core::core_arch::x86::avx512f::_mm256_mask_loadu_ps,free_function,core:42125,stable,1.89.0,True,True,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,36615,False
core::arch::x86,core::arch::x86::_mm256_mask_lzcnt_epi32,core::arch::x86::_mm256_mask_lzcnt_epi32,core::core_arch::x86::avx512cd::_mm256_mask_lzcnt_epi32,free_function,core:43587,stable,1.89.0,True,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512cd.rs,375,False
core::arch::x86,core::arch::x86::_mm256_mask_lzcnt_epi64,core::arch::x86::_mm256_mask_lzcnt_epi64,core::core_arch::x86::avx512cd::_mm256_mask_lzcnt_epi64,free_function,core:43596,stable,1.89.0,True,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512cd.rs,501,False
core::arch::x86,core::arch::x86::_mm256_mask_madd52hi_epu64,core::arch::x86::_mm256_mask_madd52hi_epu64,core::core_arch::x86::avx512ifma::_mm256_mask_madd52hi_epu64,free_function,core:44010,stable,1.89.0,False,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512ifma.rs,143,False
core::arch::x86,core::arch::x86::_mm256_mask_madd52lo_epu64,core::arch::x86::_mm256_mask_madd52lo_epu64,core::core_arch::x86::avx512ifma::_mm256_mask_madd52lo_epu64,free_function,core:44014,stable,1.89.0,False,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512ifma.rs,205,False
core::arch::x86,core::arch::x86::_mm256_mask_madd_epi16,core::arch::x86::_mm256_mask_madd_epi16,core::core_arch::x86::avx512bw::_mm256_mask_madd_epi16,free_function,core:43179,stable,1.89.0,False,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512bw.rs,6375,False
core::arch::x86,core::arch::x86::_mm256_mask_maddubs_epi16,core::arch::x86::_mm256_mask_maddubs_epi16,core::core_arch::x86::avx512bw::_mm256_mask_maddubs_epi16,free_function,core:43186,stable,1.89.0,False,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512bw.rs,6470,False
core::arch::x86,core::arch::x86::_mm256_mask_max_epi16,core::arch::x86::_mm256_mask_max_epi16,core::core_arch::x86::avx512bw::_mm256_mask_max_epi16,free_function,core:42875,stable,1.89.0,True,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512bw.rs,2141,False
core::arch::x86,core::arch::x86::_mm256_mask_max_epi32,core::arch::x86::_mm256_mask_max_epi32,core::core_arch::x86::avx512f::_mm256_mask_max_epi32,free_function,core:40005,stable,1.89.0,True,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,2297,False
core::arch::x86,core::arch::x86::_mm256_mask_max_epi64,core::arch::x86::_mm256_mask_max_epi64,core::core_arch::x86::avx512f::_mm256_mask_max_epi64,free_function,core:40013,stable,1.89.0,True,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,2411,False
core::arch::x86,core::arch::x86::_mm256_mask_max_epi8,core::arch::x86::_mm256_mask_max_epi8,core::core_arch::x86::avx512bw::_mm256_mask_max_epi8,free_function,core:42882,stable,1.89.0,True,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512bw.rs,2243,False
