canonical_path,representative_display_path,modules,kinds,stability,declaration_count,source_locations,has_approximate_alias
alloc::rc::Rc::increment_strong_count,alloc::rc::Rc::increment_strong_count,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:1569,False
alloc::rc::Rc::into_raw,alloc::rc::Rc::into_raw,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:1534,False
alloc::rc::Rc::make_mut,alloc::rc::Rc::make_mut,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:2084,False
alloc::rc::Rc::new_cyclic,alloc::rc::Rc::new_cyclic,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:485,False
alloc::rc::Rc::new_uninit,alloc::rc::Rc::new_uninit,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:511,False
alloc::rc::Rc::new_uninit_slice,alloc::rc::Rc::new_uninit_slice,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:1133,False
alloc::rc::Rc::new_zeroed,alloc::rc::Rc::new_zeroed,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:542,False
alloc::rc::Rc::new_zeroed_slice,alloc::rc::Rc::new_zeroed_slice,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:1158,False
alloc::rc::Rc::pin,alloc::rc::Rc::pin,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:647,False
alloc::rc::Rc::ptr_eq,alloc::rc::Rc::ptr_eq,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:2025,False
alloc::rc::Rc::strong_count,alloc::rc::Rc::strong_count,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:1814,False
alloc::rc::Rc::unwrap_or_clone,alloc::rc::Rc::unwrap_or_clone,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:2155,False
alloc::rc::Rc::weak_count,alloc::rc::Rc::weak_count,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:1796,False
alloc::rc::Weak::as_ptr,alloc::rc::Weak::as_ptr,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:3392,False
alloc::rc::Weak::from_raw,alloc::rc::Weak::from_raw,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:3319,False
alloc::rc::Weak::into_raw,alloc::rc::Weak::into_raw,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:3352,False
alloc::rc::Weak::new,alloc::rc::Weak::new,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:3236,False
alloc::rc::Weak::ptr_eq,alloc::rc::Weak::ptr_eq,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:3643,False
alloc::rc::Weak::strong_count,alloc::rc::Weak::strong_count,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:3563,False
alloc::rc::Weak::upgrade,alloc::rc::Weak::upgrade,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:3542,False
alloc::rc::Weak::weak_count,alloc::rc::Weak::weak_count,alloc::rc;std::rc,inherent_method,stable,1,alloc/src/rc.rs:3572,False
alloc::str::from_boxed_utf8_unchecked,std::str::from_boxed_utf8_unchecked,std::str,free_function,stable,1,alloc/src/str.rs:895,False
alloc::string::Drain::as_str,alloc::string::Drain::as_str,alloc::string;std::string,inherent_method,stable,1,alloc/src/string.rs:3569,False
alloc::string::String::as_bytes,alloc::string::String::as_bytes,alloc::string;std::string,inherent_method,stable,1,alloc/src/string.rs:1450,False
alloc::string::String::as_mut_str,alloc::string::String::as_mut_str,alloc::string;std::string,inherent_method,stable,1,alloc/src/string.rs:1080,False
alloc::string::String::as_mut_vec,alloc::string::String::as_mut_vec,alloc::string;std::string,inherent_method,stable,1,alloc/src/string.rs:1841,False
alloc::string::String::clear,alloc::string::String::clear,alloc::string;std::string,inherent_method,stable,1,alloc/src/string.rs:1941,False
alloc::string::String::drain,alloc::string::String::drain,alloc::string;std::string,inherent_method,stable,1,alloc/src/string.rs:1980,False
alloc::string::String::extend_from_within,alloc::string::String::extend_from_within,alloc::string;std::string,inherent_method,stable,1,alloc/src/string.rs:1152,False
alloc::string::String::from_raw_parts,alloc::string::String::from_raw_parts,alloc::string;std::string,inherent_method,stable,1,alloc/src/string.rs:985,False
alloc::string::String::from_utf16,alloc::string::String::from_utf16,alloc::string;std::string,inherent_method,stable,1,alloc/src/string.rs:725,False
alloc::string::String::from_utf16_lossy,alloc::string::String::from_utf16_lossy,alloc::string;std::string,inherent_method,stable,1,alloc/src/string.rs:764,False
alloc::string::String::from_utf16be,alloc::string::String::from_utf16be,alloc::string;std::string,inherent_method,stable,1,alloc/src/string.rs:864,False
alloc::string::String::from_utf16be_lossy,alloc::string::String::from_utf16be_lossy,alloc::string;std::string,inherent_method,stable,1,alloc/src/string.rs:902,False
alloc::string::String::from_utf16le,alloc::string::String::from_utf16le,alloc::string;std::string,inherent_method,stable,1,alloc/src/string.rs:791,False
alloc::string::String::from_utf16le_lossy,alloc::string::String::from_utf16le_lossy,alloc::string;std::string,inherent_method,stable,1,alloc/src/string.rs:829,False
alloc::string::String::from_utf8,alloc::string::String::from_utf8,alloc::string;std::string,inherent_method,stable,1,alloc/src/string.rs:569,False
alloc::string::String::from_utf8_lossy,alloc::string::String::from_utf8_lossy,alloc::string;std::string,inherent_method,stable,1,alloc/src/string.rs:628,False
alloc::string::String::from_utf8_unchecked,alloc::string::String::from_utf8_unchecked,alloc::string;std::string,inherent_method,stable,1,alloc/src/string.rs:1018,False
