api_path,mechanism,source_file,source_line,raw_target,confidence
alloc::collections::BTreeSet::contains,assume_specification,std_specs/btree.rs,809,"BTreeSet::<
    Key,
    A,
>::contains",high
alloc::collections::BTreeSet::get,assume_specification,std_specs/btree.rs,848,"BTreeSet::<Key, A>::get::<Q>",high
alloc::collections::BTreeSet::get,assume_specification,std_specs/btree.rs,853,"BTreeSet::<Key, A>::get::<Q>",high
alloc::collections::BTreeSet::insert,assume_specification,std_specs/btree.rs,772,"BTreeSet::<Key, A>::insert",high
alloc::collections::BTreeSet::is_empty,assume_specification,std_specs/btree.rs,746,"BTreeSet::<Key, A>::is_empty",high
alloc::collections::BTreeSet::iter,assume_specification,std_specs/btree.rs,935,"BTreeSet::<Key, A>::iter",high
alloc::collections::BTreeSet::len,assume_specification,std_specs/btree.rs,739,"BTreeSet::<Key, A>::len",high
alloc::collections::BTreeSet::new,assume_specification,std_specs/btree.rs,760,BTreeSet::<Key>::new,high
alloc::collections::BTreeSet::remove,assume_specification,std_specs/btree.rs,894,"BTreeSet::<
    Key,
    A,
>::remove::<Q>",high
alloc::collections::BinaryHeap::append,assume_specification,std_specs/collections_extra.rs,78,"BinaryHeap::<T, A>::append",high
alloc::collections::BinaryHeap::as_slice,assume_specification,std_specs/collections_extra.rs,111,"BinaryHeap::<T, A>::as_slice",high
alloc::collections::BinaryHeap::capacity,assume_specification,std_specs/capacity.rs,161,"BinaryHeap::<T, A>::capacity",high
alloc::collections::BinaryHeap::clear,assume_specification,std_specs/collections_extra.rs,65,"BinaryHeap::<T, A>::clear",high
alloc::collections::BinaryHeap::into_sorted_vec,assume_specification,std_specs/collections_extra.rs,125,"BinaryHeap::<T, A>::into_sorted_vec",high
alloc::collections::BinaryHeap::into_vec,assume_specification,std_specs/collections_extra.rs,118,"BinaryHeap::<T, A>::into_vec",high
alloc::collections::BinaryHeap::is_empty,assume_specification,std_specs/collections_extra.rs,58,"BinaryHeap::<T, A>::is_empty",high
alloc::collections::BinaryHeap::len,assume_specification,std_specs/collections_extra.rs,51,"BinaryHeap::<T, A>::len",high
alloc::collections::BinaryHeap::new,assume_specification,std_specs/collections_extra.rs,46,BinaryHeap::<T>::new,high
alloc::collections::BinaryHeap::peek,assume_specification,std_specs/collections_extra.rs,103,"BinaryHeap::<T, A>::peek",high
alloc::collections::BinaryHeap::pop,assume_specification,std_specs/collections_extra.rs,87,"BinaryHeap::<T, A>::pop",high
alloc::collections::BinaryHeap::push,assume_specification,std_specs/collections_extra.rs,70,"BinaryHeap::<T, A>::push",high
alloc::collections::BinaryHeap::reserve,assume_specification,std_specs/capacity.rs,175,"BinaryHeap::<T, A>::reserve",high
alloc::collections::BinaryHeap::reserve_exact,assume_specification,std_specs/capacity.rs,184,"BinaryHeap::<T, A>::reserve_exact",high
alloc::collections::BinaryHeap::shrink_to,assume_specification,std_specs/capacity.rs,220,"BinaryHeap::<T, A>::shrink_to",high
alloc::collections::BinaryHeap::shrink_to_fit,assume_specification,std_specs/capacity.rs,211,"BinaryHeap::<T, A>::shrink_to_fit",high
alloc::collections::BinaryHeap::try_reserve,assume_specification,std_specs/capacity.rs,193,"BinaryHeap::<T, A>::try_reserve",high
alloc::collections::BinaryHeap::try_reserve_exact,assume_specification,std_specs/capacity.rs,202,"BinaryHeap::<T, A>::try_reserve_exact",high
alloc::collections::BinaryHeap::with_capacity,assume_specification,std_specs/capacity.rs,168,BinaryHeap::<T>::with_capacity,high
alloc::collections::LinkedList::append,assume_specification,std_specs/collections_extra.rs,216,LinkedList::<T>::append,high
alloc::collections::LinkedList::back,assume_specification,std_specs/collections_extra.rs,208,"LinkedList::<T, A>::back",high
alloc::collections::LinkedList::clear,assume_specification,std_specs/collections_extra.rs,161,"LinkedList::<T, A>::clear",high
alloc::collections::LinkedList::contains,assume_specification,std_specs/collections_extra.rs,151,"LinkedList::<T, A>::contains",high
alloc::collections::LinkedList::front,assume_specification,std_specs/collections_extra.rs,200,"LinkedList::<T, A>::front",high
alloc::collections::LinkedList::is_empty,assume_specification,std_specs/collections_extra.rs,144,"LinkedList::<T, A>::is_empty",high
alloc::collections::LinkedList::len,assume_specification,std_specs/collections_extra.rs,137,"LinkedList::<T, A>::len",high
alloc::collections::LinkedList::new,assume_specification,std_specs/collections_extra.rs,132,LinkedList::<T>::new,high
alloc::collections::LinkedList::pop_back,assume_specification,std_specs/collections_extra.rs,191,"LinkedList::<T, A>::pop_back",high
alloc::collections::LinkedList::pop_front,assume_specification,std_specs/collections_extra.rs,182,"LinkedList::<T, A>::pop_front",high
alloc::collections::LinkedList::push_back,assume_specification,std_specs/collections_extra.rs,174,"LinkedList::<T, A>::push_back",high
alloc::collections::LinkedList::push_front,assume_specification,std_specs/collections_extra.rs,166,"LinkedList::<T, A>::push_front",high
alloc::collections::LinkedList::split_off,assume_specification,std_specs/collections_extra.rs,225,"LinkedList::<T, A>::split_off",high
alloc::collections::VecDeque::capacity,assume_specification,std_specs/capacity.rs,128,"VecDeque::<T, A>::capacity",high
alloc::collections::VecDeque::shrink_to,assume_specification,std_specs/capacity.rs,151,"VecDeque::<T, A>::shrink_to",high
alloc::collections::VecDeque::shrink_to_fit,assume_specification,std_specs/capacity.rs,144,"VecDeque::<T, A>::shrink_to_fit",high
alloc::collections::VecDeque::try_reserve,assume_specification,std_specs/capacity.rs,135,"VecDeque::<T, A>::try_reserve",high
alloc::collections::vec_deque::VecDeque::append,assume_specification,std_specs/vecdeque.rs,303,"VecDeque::<T, A>::append",high
alloc::collections::vec_deque::VecDeque::as_slices,assume_specification,std_specs/vecdeque.rs,246,"VecDeque::<T, A>::as_slices",high
alloc::collections::vec_deque::VecDeque::back,assume_specification,std_specs/vecdeque.rs,230,"VecDeque::<T, A>::back",high
alloc::collections::vec_deque::VecDeque::clear,assume_specification,std_specs/vecdeque.rs,341,"VecDeque::<T, A>::clear",high
alloc::collections::vec_deque::VecDeque::contains,assume_specification,std_specs/vecdeque.rs,253,"VecDeque::<T, A>::contains",high
alloc::collections::vec_deque::VecDeque::front,assume_specification,std_specs/vecdeque.rs,223,"VecDeque::<T, A>::front",high
alloc::collections::vec_deque::VecDeque::get,assume_specification,std_specs/vecdeque.rs,237,"VecDeque::<T, A>::get",high
alloc::collections::vec_deque::VecDeque::index,assume_specification,std_specs/vecdeque.rs,71,"VecDeque::<T, A>::index",high
alloc::collections::vec_deque::VecDeque::insert,assume_specification,std_specs/vecdeque.rs,312,"VecDeque::<T, A>::insert",high
alloc::collections::vec_deque::VecDeque::is_empty,assume_specification,std_specs/vecdeque.rs,216,"VecDeque::<T, A>::is_empty",high
alloc::collections::vec_deque::VecDeque::iter,assume_specification,std_specs/vecdeque.rs,471,"VecDeque::<T, A>::iter",high
alloc::collections::vec_deque::VecDeque::len,assume_specification,std_specs/vecdeque.rs,80,"VecDeque::<T, A>::len",high
alloc::collections::vec_deque::VecDeque::new,assume_specification,std_specs/vecdeque.rs,86,VecDeque::<T>::new,high
alloc::collections::vec_deque::VecDeque::pop_back,assume_specification,std_specs/vecdeque.rs,143,"VecDeque::<T, A>::pop_back",high
alloc::collections::vec_deque::VecDeque::pop_front,assume_specification,std_specs/vecdeque.rs,160,"VecDeque::<T, A>::pop_front",high
alloc::collections::vec_deque::VecDeque::push_back,assume_specification,std_specs/vecdeque.rs,127,"VecDeque::<T, A>::push_back",high
alloc::collections::vec_deque::VecDeque::push_front,assume_specification,std_specs/vecdeque.rs,135,"VecDeque::<T, A>::push_front",high
alloc::collections::vec_deque::VecDeque::remove,assume_specification,std_specs/vecdeque.rs,323,"VecDeque::<T, A>::remove",high
alloc::collections::vec_deque::VecDeque::reserve,assume_specification,std_specs/vecdeque.rs,103,"VecDeque::<T, A>::reserve",high
alloc::collections::vec_deque::VecDeque::reserve_exact,assume_specification,std_specs/vecdeque.rs,111,"VecDeque::<T, A>::reserve_exact",high
alloc::collections::vec_deque::VecDeque::resize,assume_specification,std_specs/vecdeque.rs,383,"VecDeque::<T, A>::resize",high
alloc::collections::vec_deque::VecDeque::rotate_left,assume_specification,std_specs/vecdeque.rs,263,"VecDeque::<T, A>::rotate_left",high
alloc::collections::vec_deque::VecDeque::rotate_right,assume_specification,std_specs/vecdeque.rs,276,"VecDeque::<T, A>::rotate_right",high
alloc::collections::vec_deque::VecDeque::split_off,assume_specification,std_specs/vecdeque.rs,346,"VecDeque::<T, A>::split_off",high
alloc::collections::vec_deque::VecDeque::swap,assume_specification,std_specs/vecdeque.rs,288,"VecDeque::<T, A>::swap",high
alloc::collections::vec_deque::VecDeque::swap_remove_back,assume_specification,std_specs/vecdeque.rs,177,"VecDeque::<T, A>::swap_remove_back",high
alloc::collections::vec_deque::VecDeque::swap_remove_front,assume_specification,std_specs/vecdeque.rs,195,"VecDeque::<T, A>::swap_remove_front",high
alloc::collections::vec_deque::VecDeque::truncate,assume_specification,std_specs/vecdeque.rs,374,"VecDeque::<T, A>::truncate",high
alloc::collections::vec_deque::VecDeque::try_reserve_exact,assume_specification,std_specs/vecdeque.rs,119,"VecDeque::<T, A>::try_reserve_exact",high
alloc::collections::vec_deque::VecDeque::with_capacity,assume_specification,std_specs/vecdeque.rs,98,VecDeque::<T>::with_capacity,high
alloc::ffi::CString::as_bytes,assume_specification,std_specs/ffi.rs,225,CString::as_bytes,high
alloc::ffi::CString::as_bytes_with_nul,assume_specification,std_specs/ffi.rs,231,CString::as_bytes_with_nul,high
alloc::ffi::CString::as_c_str,assume_specification,std_specs/ffi.rs,237,CString::as_c_str,high
alloc::ffi::CString::from_vec_with_nul,assume_specification,std_specs/ffi.rs,261,CString::from_vec_with_nul,high
alloc::ffi::CString::into_boxed_c_str,assume_specification,std_specs/ffi.rs,255,CString::into_boxed_c_str,high
alloc::ffi::CString::into_bytes,assume_specification,std_specs/ffi.rs,243,CString::into_bytes,high
alloc::ffi::CString::into_bytes_with_nul,assume_specification,std_specs/ffi.rs,249,CString::into_bytes_with_nul,high
alloc::ffi::CString::into_string,assume_specification,std_specs/ffi.rs,272,CString::into_string,high
alloc::ffi::FromVecWithNulError::as_bytes,assume_specification,std_specs/ffi.rs,316,alloc::ffi::FromVecWithNulError::as_bytes,high
alloc::ffi::FromVecWithNulError::into_bytes,assume_specification,std_specs/ffi.rs,324,alloc::ffi::FromVecWithNulError::into_bytes,high
alloc::ffi::IntoStringError::into_cstring,assume_specification,std_specs/ffi.rs,332,alloc::ffi::IntoStringError::into_cstring,high
alloc::ffi::IntoStringError::utf8_error,assume_specification,std_specs/ffi.rs,340,alloc::ffi::IntoStringError::utf8_error,high
alloc::ffi::NulError::into_vec,assume_specification,std_specs/ffi.rs,309,alloc::ffi::NulError::into_vec,high
alloc::ffi::NulError::nul_position,assume_specification,std_specs/ffi.rs,301,alloc::ffi::NulError::nul_position,high
alloc::intrinsics::write_box_via_move,assume_specification,std_specs/alloc.rs,26,alloc::intrinsics::write_box_via_move,high
alloc::rc::Rc::into_inner,assume_specification,std_specs/smart_ptrs.rs,71,"Rc::<T, A>::into_inner",high
alloc::rc::Rc::new,assume_specification,std_specs/smart_ptrs.rs,29,Rc::<T>::new,high
alloc::rc::Rc::try_unwrap,assume_specification,std_specs/smart_ptrs.rs,60,"Rc::<T, A>::try_unwrap",high
alloc::string::FromUtf8Error::as_bytes,assume_specification,std_specs/ffi.rs,282,FromUtf8Error::as_bytes,high
alloc::string::FromUtf8Error::into_bytes,assume_specification,std_specs/ffi.rs,288,FromUtf8Error::into_bytes,high
alloc::string::FromUtf8Error::utf8_error,assume_specification,std_specs/ffi.rs,294,FromUtf8Error::utf8_error,high
alloc::string::String::as_str,assume_specification,string.rs,332,String::as_str,high
alloc::string::String::capacity,assume_specification,std_specs/capacity.rs,77,String::capacity,high
alloc::string::String::new,assume_specification,string.rs,357,String::new,high
alloc::string::String::reserve,assume_specification,std_specs/capacity.rs,88,String::reserve,high
alloc::string::String::reserve_exact,assume_specification,std_specs/capacity.rs,94,String::reserve_exact,high
alloc::string::String::shrink_to,assume_specification,std_specs/capacity.rs,121,String::shrink_to,high
alloc::string::String::shrink_to_fit,assume_specification,std_specs/capacity.rs,114,String::shrink_to_fit,high
alloc::string::String::try_reserve,assume_specification,std_specs/capacity.rs,100,String::try_reserve,high
alloc::string::String::try_reserve_exact,assume_specification,std_specs/capacity.rs,107,String::try_reserve_exact,high
alloc::string::String::with_capacity,assume_specification,std_specs/capacity.rs,82,String::with_capacity,high
alloc::string::ToString::to_string,assume_specification,string.rs,158,<T as ToString>::to_string,high
alloc::sync::Arc::new,assume_specification,std_specs/smart_ptrs.rs,41,Arc::<T>::new,high
alloc::vec::Vec::append,assume_specification,std_specs/vec.rs,154,"Vec::<T, A>::append",high
alloc::vec::Vec::as_mut_slice,assume_specification,std_specs/vec.rs,242,"Vec::<T, A>::as_mut_slice",high
alloc::vec::Vec::as_slice,assume_specification,std_specs/vec.rs,236,"Vec::<T, A>::as_slice",high
alloc::vec::Vec::capacity,assume_specification,std_specs/capacity.rs,37,"Vec::<T, A>::capacity",high
alloc::vec::Vec::clear,assume_specification,std_specs/vec.rs,231,"Vec::<T, A>::clear",high
alloc::vec::Vec::extend_from_slice,assume_specification,std_specs/vec.rs,163,"Vec::<T, A>::extend_from_slice",high
alloc::vec::Vec::index,assume_specification,std_specs/vec.rs,184,"Vec::<T, A>::index",high
alloc::vec::Vec::insert,assume_specification,std_specs/vec.rs,203,"Vec::<T, A>::insert",high
alloc::vec::Vec::into_iter,assume_specification,std_specs/vec.rs,446,"Vec::<T, A>::into_iter",high
alloc::vec::Vec::is_empty,assume_specification,std_specs/vec.rs,214,"<Vec<T, A>>::is_empty",high
alloc::vec::Vec::len,assume_specification,std_specs/vec.rs,93,"Vec::<T, A>::len",high
alloc::vec::Vec::new,assume_specification,std_specs/vec.rs,100,Vec::<T>::new,high
alloc::vec::Vec::new_in,assume_specification,std_specs/vec.rs,110,"Vec::<T, A>::new_in",high
alloc::vec::Vec::pop,assume_specification,std_specs/vec.rs,146,"Vec::<T, A>::pop",high
alloc::vec::Vec::push,assume_specification,std_specs/vec.rs,141,"Vec::<T, A>::push",high
alloc::vec::Vec::remove,assume_specification,std_specs/vec.rs,220,"Vec::<T, A>::remove",high
alloc::vec::Vec::reserve,assume_specification,std_specs/vec.rs,125,"Vec::<T, A>::reserve",high
alloc::vec::Vec::reserve_exact,assume_specification,std_specs/capacity.rs,42,"Vec::<T, A>::reserve_exact",high
alloc::vec::Vec::resize,assume_specification,std_specs/vec.rs,306,"Vec::<T, A>::resize",high
alloc::vec::Vec::shrink_to,assume_specification,std_specs/capacity.rs,67,"Vec::<T, A>::shrink_to",high
alloc::vec::Vec::shrink_to_fit,assume_specification,std_specs/capacity.rs,60,"Vec::<T, A>::shrink_to_fit",high
alloc::vec::Vec::split_off,assume_specification,std_specs/vec.rs,263,"Vec::<T, A>::split_off",high
alloc::vec::Vec::swap_remove,assume_specification,std_specs/vec.rs,192,"Vec::<T, A>::swap_remove",high
alloc::vec::Vec::truncate,assume_specification,std_specs/vec.rs,300,"Vec::<T, A>::truncate",high
alloc::vec::Vec::try_reserve,assume_specification,std_specs/vec.rs,133,"Vec::<T, A>::try_reserve",high
alloc::vec::Vec::try_reserve_exact,assume_specification,std_specs/capacity.rs,51,"Vec::<T, A>::try_reserve_exact",high
alloc::vec::Vec::with_capacity,assume_specification,std_specs/vec.rs,115,Vec::<T>::with_capacity,high
alloc::vec::Vec::with_capacity_in,assume_specification,std_specs/vec.rs,120,"Vec::<T, A>::with_capacity_in",high
alloc::vec::from_elem,assume_specification,std_specs/vec.rs,409,alloc::vec::from_elem,high
core::alloc::Layout::align,assume_specification,std_specs/layout_value.rs,75,Layout::align,high
core::alloc::Layout::align_to,assume_specification,std_specs/layout_value.rs,93,Layout::align_to,high
core::alloc::Layout::array,assume_specification,std_specs/layout_value.rs,215,Layout::array::<T>,high
core::alloc::Layout::extend,assume_specification,std_specs/layout_value.rs,113,Layout::extend,high
core::alloc::Layout::extend_packed,assume_specification,std_specs/layout_value.rs,143,Layout::extend_packed,high
core::alloc::Layout::for_value,assume_specification,std_specs/layout_value.rs,85,Layout::for_value::<T>,high
core::alloc::Layout::from_size_align,assume_specification,std_specs/layout_value.rs,50,Layout::from_size_align,high
core::alloc::Layout::from_size_align_unchecked,assume_specification,std_specs/layout_value.rs,62,Layout::from_size_align_unchecked,high
core::alloc::Layout::new,assume_specification,std_specs/layout_value.rs,80,Layout::new::<T>,high
core::alloc::Layout::pad_to_align,assume_specification,std_specs/layout_value.rs,107,Layout::pad_to_align,high
core::alloc::Layout::repeat,assume_specification,std_specs/layout_value.rs,161,Layout::repeat,high
core::alloc::Layout::repeat_packed,assume_specification,std_specs/layout_value.rs,197,Layout::repeat_packed,high
core::alloc::Layout::size,assume_specification,std_specs/layout_value.rs,70,Layout::size,high
core::array::as_slice,assume_specification,array.rs,143,<[T; N]>::as_slice,high
core::bool::then,assume_specification,std_specs/core.rs,175,bool::then,high
core::clone::Clone::clone,assume_specification,float.rs,95,<f32 as Clone>::clone,high
core::clone::Clone::clone,assume_specification,float.rs,100,<f64 as Clone>::clone,high
core::clone::Clone::clone,assume_specification,std_specs/btree.rs,390,"<BTreeMap::<
    K,
    V,
    A,
> as Clone>::clone",high
core::clone::Clone::clone,assume_specification,std_specs/btree.rs,753,"<BTreeSet::<K, A> as Clone>::clone",high
core::clone::Clone::clone,external_trait_specification,std_specs/clone.rs,10,core::clone::Clone::clone,high
core::clone::Clone::clone,assume_specification,std_specs/clone.rs,26,<bool as Clone>::clone,high
core::clone::Clone::clone,assume_specification,std_specs/clone.rs,31,<char as Clone>::clone,high
core::clone::Clone::clone,assume_specification,std_specs/clone.rs,37,<&'b T as Clone>::clone,high
core::clone::Clone::clone,assume_specification,std_specs/clone.rs,44,<[T; N] as Clone>::clone,high
core::clone::Clone::clone,assume_specification,std_specs/clone.rs,61,<Tracked<T> as Clone>::clone,high
core::clone::Clone::clone,assume_specification,std_specs/clone.rs,68,<Ghost<T> as Clone>::clone,high
core::clone::Clone::clone,assume_specification,std_specs/hash.rs,612,"<HashMap::<
    K,
    V,
    S,
    A,
> as Clone>::clone",high
core::clone::Clone::clone,assume_specification,std_specs/manually_drop.rs,40,<ManuallyDrop<T> as Clone>::clone,high
core::clone::Clone::clone,assume_specification,std_specs/nonzero.rs,164,<NonZero<T> as Clone>::clone,high
core::clone::Clone::clone,macro:num_specs,std_specs/num.rs,453,<i8 as Clone>::clone,macro_inferred
core::clone::Clone::clone,macro:num_specs,std_specs/num.rs,453,<u8 as Clone>::clone,macro_inferred
core::clone::Clone::clone,macro:num_specs,std_specs/num.rs,454,<i16 as Clone>::clone,macro_inferred
core::clone::Clone::clone,macro:num_specs,std_specs/num.rs,454,<u16 as Clone>::clone,macro_inferred
core::clone::Clone::clone,macro:num_specs,std_specs/num.rs,455,<i32 as Clone>::clone,macro_inferred
core::clone::Clone::clone,macro:num_specs,std_specs/num.rs,455,<u32 as Clone>::clone,macro_inferred
core::clone::Clone::clone,macro:num_specs,std_specs/num.rs,456,<u64 as Clone>::clone,macro_inferred
core::clone::Clone::clone,macro:num_specs,std_specs/num.rs,456,<i64 as Clone>::clone,macro_inferred
core::clone::Clone::clone,macro:num_specs,std_specs/num.rs,457,<u128 as Clone>::clone,macro_inferred
core::clone::Clone::clone,macro:num_specs,std_specs/num.rs,457,<i128 as Clone>::clone,macro_inferred
core::clone::Clone::clone,macro:num_specs,std_specs/num.rs,466,<usize as Clone>::clone,macro_inferred
core::clone::Clone::clone,macro:num_specs,std_specs/num.rs,466,<isize as Clone>::clone,macro_inferred
core::clone::Clone::clone,assume_specification,std_specs/option.rs,275,<Option<T> as Clone>::clone,high
core::clone::Clone::clone,assume_specification,std_specs/smart_ptrs.rs,53,"<Box<T, A> as Clone>::clone",high
core::clone::Clone::clone,assume_specification,std_specs/vec.rs,278,"<Vec<T, A> as Clone>::clone",high
core::clone::Clone::clone,assume_specification,std_specs/vecdeque.rs,364,"<VecDeque<T, A> as Clone>::clone",high
core::clone::Clone::clone,assume_specification,string.rs,345,<String as Clone>::clone,high
core::cmp::Ord::clamp,external_trait_specification,std_specs/cmp.rs,159,Ord::clamp,high
core::cmp::Ord::cmp,external_trait_specification,std_specs/cmp.rs,123,Ord::cmp,high
core::cmp::Ord::cmp,assume_specification,std_specs/cmp.rs,446,<&'a A as Ord>::cmp,high
core::cmp::Ord::cmp,macro:num_specs,std_specs/num.rs,453,<u8 as Ord>::cmp,macro_inferred
core::cmp::Ord::cmp,macro:num_specs,std_specs/num.rs,453,<i8 as Ord>::cmp,macro_inferred
core::cmp::Ord::cmp,macro:num_specs,std_specs/num.rs,454,<i16 as Ord>::cmp,macro_inferred
core::cmp::Ord::cmp,macro:num_specs,std_specs/num.rs,454,<u16 as Ord>::cmp,macro_inferred
core::cmp::Ord::cmp,macro:num_specs,std_specs/num.rs,455,<i32 as Ord>::cmp,macro_inferred
core::cmp::Ord::cmp,macro:num_specs,std_specs/num.rs,455,<u32 as Ord>::cmp,macro_inferred
core::cmp::Ord::cmp,macro:num_specs,std_specs/num.rs,456,<i64 as Ord>::cmp,macro_inferred
core::cmp::Ord::cmp,macro:num_specs,std_specs/num.rs,456,<u64 as Ord>::cmp,macro_inferred
core::cmp::Ord::cmp,macro:num_specs,std_specs/num.rs,457,<i128 as Ord>::cmp,macro_inferred
core::cmp::Ord::cmp,macro:num_specs,std_specs/num.rs,457,<u128 as Ord>::cmp,macro_inferred
core::cmp::Ord::cmp,macro:num_specs,std_specs/num.rs,466,<isize as Ord>::cmp,macro_inferred
core::cmp::Ord::cmp,macro:num_specs,std_specs/num.rs,466,<usize as Ord>::cmp,macro_inferred
core::cmp::Ord::cmp,assume_specification,std_specs/option.rs,341,<Option<T> as Ord>::cmp,high
core::cmp::Ord::max,external_trait_specification,std_specs/cmp.rs,127,Ord::max,high
core::cmp::Ord::min,external_trait_specification,std_specs/cmp.rs,143,Ord::min,high
core::cmp::Ordering::is_eq,assume_specification,std_specs/ordering.rs,8,Ordering::is_eq,high
core::cmp::Ordering::is_ge,assume_specification,std_specs/ordering.rs,33,Ordering::is_ge,high
core::cmp::Ordering::is_gt,assume_specification,std_specs/ordering.rs,23,Ordering::is_gt,high
core::cmp::Ordering::is_le,assume_specification,std_specs/ordering.rs,28,Ordering::is_le,high
core::cmp::Ordering::is_lt,assume_specification,std_specs/ordering.rs,18,Ordering::is_lt,high
core::cmp::Ordering::is_ne,assume_specification,std_specs/ordering.rs,13,Ordering::is_ne,high
core::cmp::Ordering::reverse,assume_specification,std_specs/ordering.rs,38,Ordering::reverse,high
core::cmp::Ordering::then,assume_specification,std_specs/ordering.rs,47,Ordering::then,high
core::cmp::PartialEq::eq,assume_specification,raw_ptr.rs,198,<*mut T as PartialEq<*mut T>>::eq,high
core::cmp::PartialEq::eq,assume_specification,raw_ptr.rs,221,<*const T as PartialEq<*const T>>::eq,high
core::cmp::PartialEq::eq,external_trait_specification,std_specs/cmp.rs,19,PartialEq<Rhs>::eq,high
core::cmp::PartialEq::eq,assume_specification,std_specs/cmp.rs,250,<bool as PartialEq<bool>>::eq,high
core::cmp::PartialEq::eq,assume_specification,std_specs/cmp.rs,279,<f32 as PartialEq<f32>>::eq,high
core::cmp::PartialEq::eq,assume_specification,std_specs/cmp.rs,316,<f64 as PartialEq<f64>>::eq,high
core::cmp::PartialEq::eq,assume_specification,std_specs/cmp.rs,367,<&'a A as PartialEq<&B>>::eq,high
core::cmp::PartialEq::eq,macro:num_specs,std_specs/num.rs,453,<i8 as PartialEq<i8>>::eq,macro_inferred
core::cmp::PartialEq::eq,macro:num_specs,std_specs/num.rs,453,<u8 as PartialEq<u8>>::eq,macro_inferred
core::cmp::PartialEq::eq,macro:num_specs,std_specs/num.rs,454,<u16 as PartialEq<u16>>::eq,macro_inferred
core::cmp::PartialEq::eq,macro:num_specs,std_specs/num.rs,454,<i16 as PartialEq<i16>>::eq,macro_inferred
core::cmp::PartialEq::eq,macro:num_specs,std_specs/num.rs,455,<u32 as PartialEq<u32>>::eq,macro_inferred
core::cmp::PartialEq::eq,macro:num_specs,std_specs/num.rs,455,<i32 as PartialEq<i32>>::eq,macro_inferred
core::cmp::PartialEq::eq,macro:num_specs,std_specs/num.rs,456,<u64 as PartialEq<u64>>::eq,macro_inferred
core::cmp::PartialEq::eq,macro:num_specs,std_specs/num.rs,456,<i64 as PartialEq<i64>>::eq,macro_inferred
core::cmp::PartialEq::eq,macro:num_specs,std_specs/num.rs,457,<u128 as PartialEq<u128>>::eq,macro_inferred
core::cmp::PartialEq::eq,macro:num_specs,std_specs/num.rs,457,<i128 as PartialEq<i128>>::eq,macro_inferred
core::cmp::PartialEq::eq,macro:num_specs,std_specs/num.rs,466,<usize as PartialEq<usize>>::eq,macro_inferred
core::cmp::PartialEq::eq,macro:num_specs,std_specs/num.rs,466,<isize as PartialEq<isize>>::eq,macro_inferred
core::cmp::PartialEq::eq,assume_specification,std_specs/option.rs,298,<Option<T> as PartialEq>::eq,high
core::cmp::PartialEq::eq,assume_specification,std_specs/vec.rs,343,"<Vec<T, A1> as PartialEq<Vec<U, A2>>>::eq",high
core::cmp::PartialEq::eq,assume_specification,string.rs,351,<String as PartialEq>::eq,high
core::cmp::PartialEq::ne,external_trait_specification,std_specs/cmp.rs,23,PartialEq<Rhs>::ne,high
core::cmp::PartialEq::ne,assume_specification,std_specs/cmp.rs,252,<bool as PartialEq<bool>>::ne,high
