target,classification,category,owner,kinds,classification_reasons,related_vstd_contract_count,returns_reference,returns_mutable_reference,has_mutable_output_state,has_closure,has_unsafe,has_raw_pointer
alloc::collections::BinaryHeap::shrink_to_fit,representation_or_allocator,data_structure,alloc::collections::BinaryHeap,inherent_method,representation_or_allocator_state_not_in_public_view,11,False,False,True,False,False,False
alloc::collections::BinaryHeap::try_reserve,representation_or_allocator,data_structure,alloc::collections::BinaryHeap,inherent_method,representation_or_allocator_state_not_in_public_view,11,False,False,True,False,False,False
alloc::collections::BinaryHeap::try_reserve_exact,representation_or_allocator,data_structure,alloc::collections::BinaryHeap,inherent_method,representation_or_allocator_state_not_in_public_view,11,False,False,True,False,False,False
alloc::collections::BinaryHeap::with_capacity,representation_or_allocator,data_structure,alloc::collections::BinaryHeap,inherent_method,representation_or_allocator_state_not_in_public_view,11,False,False,False,False,False,False
alloc::collections::LinkedList::back_mut,determinism_checker_unsupported,data_structure,alloc::collections::LinkedList,inherent_method,mutable_reference_return_not_supported,12,True,True,True,False,False,False
alloc::collections::LinkedList::contains,suitable_now,data_structure,alloc::collections::LinkedList,inherent_method,,12,False,False,False,False,False,False
alloc::collections::LinkedList::extract_if,iterator_or_adapter_result,data_structure,alloc::collections::LinkedList,inherent_method,iterator_or_adapter_semantics_require_prophetic_model,12,False,False,True,True,False,False
alloc::collections::LinkedList::front_mut,determinism_checker_unsupported,data_structure,alloc::collections::LinkedList,inherent_method,mutable_reference_return_not_supported,12,True,True,True,False,False,False
alloc::collections::LinkedList::iter,iterator_or_adapter_result,data_structure,alloc::collections::LinkedList,inherent_method,iterator_or_adapter_semantics_require_prophetic_model,12,False,False,False,False,False,False
alloc::collections::LinkedList::iter_mut,iterator_or_adapter_result,data_structure,alloc::collections::LinkedList,inherent_method,iterator_or_adapter_semantics_require_prophetic_model,12,False,False,True,False,False,False
alloc::collections::LinkedList::push_back_mut,determinism_checker_unsupported,data_structure,alloc::collections::LinkedList,inherent_method,mutable_reference_return_not_supported,12,True,True,True,False,False,False
alloc::collections::LinkedList::push_front_mut,determinism_checker_unsupported,data_structure,alloc::collections::LinkedList,inherent_method,mutable_reference_return_not_supported,12,True,True,True,False,False,False
alloc::collections::VecDeque::as_mut_slices,determinism_checker_unsupported,data_structure,alloc::collections::VecDeque,inherent_method,mutable_reference_return_not_supported,0,True,True,True,False,False,False
alloc::collections::VecDeque::as_slices,needs_new_vstd_abstraction,data_structure,alloc::collections::VecDeque,inherent_method,no_existing_contract_for_owner_or_module,0,True,False,False,False,False,False
alloc::collections::VecDeque::back,needs_new_vstd_abstraction,data_structure,alloc::collections::VecDeque,inherent_method,no_existing_contract_for_owner_or_module,0,True,False,False,False,False,False
